Category;Award;Brewery;Country;Beer;Website;Style Origin
IMPERIAL INDIA PALE ALE;GOLD;Slowboat Brewery;China;MOON JELLY DDH DOUBLE IPA;www.slowboatbrewery.com;American
IMPERIAL INDIA PALE ALE;SILVER;Slowboat Brewery;China;MONKEY’S FIST IMPERIAL IPA;www.slowboatbrewery.com;American
IMPERIAL INDIA PALE ALE;BRONZE;No-Li Brewhouse;USA;Spartan Squatch;www.nolibrewhouse.com;American
ENGLISH-STYLE BITTER;GOLD;Firestone Walker Brewing Company;USA;Double Barrel Ale;www.firestonebeer.com;British
ENGLISH-STYLE BITTER;SILVER;Birrificio Agricolo Pagus;Italy;FRERA;www.birrapagus.it;British
ENGLISH-STYLE BITTER;BRONZE;Birra Perugia;Italy;COSMO ROSSO;www.birraperugia.it;British
ENGLISH-STYLE GOLDEN ALE;GOLD;RichKat Craft Brewing;China;Golden Ale;;British
ENGLISH-STYLE GOLDEN ALE;SILVER;Birra Perugia;Italy;Golden Ale;www.birraperugia.it;British
ENGLISH-STYLE GOLDEN ALE;BRONZE;Mastri Birrai Umbri;Italy;Monkey Summer Ale;www.mastribirraiumbri.it;British
RED ALE;GOLD;Ottakringer Brauerei;Austria;Ottakringer Brauwerk Hellberry;www.ottakringerbrauerei.at;British
RED ALE;SILVER;CHOPFAB BOXER;Switzerland;Chopfab Amber;www.chopfabboxer.ch;British
RED ALE;BRONZE;Krenkerup Bryggeri;Denmark;Krenkerup Brown Ale;www.krenkerupbryggeri.dk;British
ENGLISH-STYLE STRONG ALE;GOLD;Olde Hickory Brewery;USA;Forest Hills;www.oldehickorybrewery.com;British
ENGLISH-STYLE STRONG ALE;SILVER;Beermaster Brewery;Ukraine;Valhalla Ticket;instagram.com.beermasterua;British
ENGLISH-STYLE STRONG ALE;BRONZE;Olde Hickory Brewery;USA;Irish Walker;www.oldehickorybrewery.com;British
ENGLISH-STYLE PORTER;GOLD;Brauerei Locher;Switzerland;Appenzeller Bier - Schwarzer Kristall;www.appenzellerbier.ch;British
ENGLISH-STYLE PORTER;SILVER;Birra Puddu;Italy;Porter;www.birrapuddu.it;British
ENGLISH-STYLE PORTER;BRONZE;Birra 100Venti;Italy;Sex Porter;www.birracentoventi.it;British
BALTIC PORTER;GOLD;Browar Jastrzębie;Poland;Porter Bałtycki;www.browarjastrzebie.pl;British
BALTIC PORTER;SILVER;U Tomana;Czech Republic;Baltic Porter 19;www.utomana.cz;British
BALTIC PORTER;BRONZE;Browar Trzech Kumpli;Poland;Porter Bałtycki Trzech Kumpli;www.trzechkumpli.pl;British
STOUT;GOLD;Urban Roots Brewing;USA;No Tricks;www.urbanrootsbrewing.com;British
STOUT;SILVER;SPACECRAFT Brewing Company;Thailand;Event Horizon;www.spacecraft.space;British
STOUT;BRONZE;Alexander Brewery;Israel;Alexander Black;www.alexander-beer.co.il;British
FLAVOURED OR PASTRY STOUT;GOLD;50&50;Italy;OX&DONKEY;www.50e50.beer;British
FLAVOURED OR PASTRY STOUT;SILVER;Trueman Brewing Company;China;Chocolate Rain Milk Imperial Stout;www.truemanbrewing.com;British
FLAVOURED OR PASTRY STOUT;BRONZE;River North Brewery;USA;Nightmare Fuel;www.rivernorthbrewery.com;British
IMPERIAL STOUT;GOLD;Cerveza 7 VIDAS;Peru;7 VIDAS - Russian Imperial Stout;www.cerveza7vidas.com;British
IMPERIAL STOUT;SILVER;Molo Brew;Norway;Night Rocker;www.molobrew.no;British
IMPERIAL STOUT;BRONZE;River North Brewery;USA;Mr. Sandman;www.rivernorthbrewery.com;British
ALT;GOLD;Brauerei Diebels;Germany;Diebels Alt;www.diebels.de;Central European
ALT;SILVER;Birra 100Venti;Italy;Palt Fiction;www.birracentoventi.it;Central European
ALT;BRONZE;Hausbrauerei „Zum Schlüssel“;Germany;Original Schlüssel;www.zumschluessel.de;Central European
SOUTH GERMAN-STYLE LEICHTES WEIZEN;GOLD;Zebra Craft Beer;China;Zebra Craft Xiao Mai Bai;www.chaojibanma.com;Central European
SOUTH GERMAN-STYLE LEICHTES WEIZEN;SILVER;Stadtbrauerei Spalt;Germany;Spalter Weizen leicht;www.spalter-bier.de;Central European
SOUTH GERMAN-STYLE LEICHTES WEIZEN;BRONZE;Privatbrauerei Hofmühl;Germany;Hofmühl Weißbier leicht;www.hofmuehl.de;Central European
SOUTH GERMAN-STYLE HEFEWEIZEN HELL;GOLD;Hirsch-Brauerei Honer;Germany;Hirsch Hefe Weisse;www.hirschbrauerei.de;Central European
SOUTH GERMAN-STYLE HEFEWEIZEN HELL;SILVER;Beijing Sonhoshin&Five Star Beer Company;China;Sonhoshin German-Style Wheat Beer;www.sonhoshin.com;Central European
SOUTH GERMAN-STYLE HEFEWEIZEN HELL;BRONZE;Brauerei Rittmayer Hallerndorf;Germany;Rittmayer Weizen;www.rittmayer.de;Central European
SOUTH GERMAN-STYLE HEFEWEIZEN BERNSTEINFARBEN;GOLD;Brauerei Aying Franz Inselkammer;Germany;Ayinger Urweisse;www.ayinger.de;Central European
SOUTH GERMAN-STYLE HEFEWEIZEN BERNSTEINFARBEN;SILVER;Weissbräu Schwendl;Germany;Schwendl Ursprung;www.weissbraeu-schwendl.de;Central European
SOUTH GERMAN-STYLE HEFEWEIZEN BERNSTEINFARBEN;BRONZE;Zum Löwenbräu;Germany;Karpfen Weisse;www.zum-loewenbraeu.de;Central European
SOUTH GERMAN-STYLE HEFEWEIZEN DUNKEL;GOLD;Geist Brewing Company;India;Geist Uncle Dunkel;www.geist.in;Central European
SOUTH GERMAN-STYLE HEFEWEIZEN DUNKEL;SILVER;Privatbrauerei Hofmühl;Germany;Hofmühl Hefeweizen Dunkel;www.hofmuehl.de;Central European
SOUTH GERMAN-STYLE HEFEWEIZEN DUNKEL;BRONZE;Privatbrauerei M.C. WIENINGER;Germany;Wieninger Weißbier Dunkel;www.wieninger.de;Central European
SOUTH GERMAN-STYLE KRISTALLWEIZEN;GOLD;Hirsch-Brauerei Honer;Germany;Hirsch Kristall Weisse;www.hirschbrauerei.de;Central European
SOUTH GERMAN-STYLE KRISTALLWEIZEN;SILVER;Schloßbrauerei Kaltenberg;Germany;König Ludwig Weissbier Kristall;www.koenig-ludwig-brauerei.com;Central European
SOUTH GERMAN-STYLE KRISTALLWEIZEN;BRONZE;Kronenbrauerei Alfred Schimpf;Germany;Schimpf Kristallweizen;www.brauerei-schimpf.de;Central European
SOUTH GERMAN-STYLE WEIZENBOCK HELL;GOLD;Bayerische Staatsbrauerei Weihenstephan;Germany;Weihenstephaner Vitus;www.weihenstephaner.de;Central European
SOUTH GERMAN-STYLE WEIZENBOCK HELL;SILVER;Brauerei Michael Plank;Germany;Plank Heller Weizenbock;www.brauerei-plank.de;Central European
SOUTH GERMAN-STYLE WEIZENBOCK HELL;BRONZE;Brauerei S. Riegele;Germany;Riegele Augustus 8;www.riegele.de;Central European
SOUTH GERMAN-STYLE WEIZENBOCK DUNKEL;GOLD;Schneider Weisse;Germany;TAP6 Aventinus;www.schneider-weisse.de;Central European
SOUTH GERMAN-STYLE WEIZENBOCK DUNKEL;SILVER;Weissbräu Schwendl;Germany;Schwendl Weißbierbock;www.weissbraeu-schwendl.de;Central European
SOUTH GERMAN-STYLE WEIZENBOCK DUNKEL;BRONZE;Privatbrauerei ERDINGER;Germany;ERDINGER Pikantus;www.erdinger.de;Central European
NEW-STYLE HEFEWEIZEN;GOLD;Schneider Weisse;Germany;TAP5 Hopfenweisse;www.schneider-weisse.de;American
NEW-STYLE HEFEWEIZEN;SILVER;Stieglbrauerei zu Salzburg;Austria;Stiegl-Hausbier Gipfelstürmer;www.stiegl.at;American
NEW-STYLE HEFEWEIZEN;BRONZE;Camba Bavaria;Germany;Camba Jager Weisse;www.cambabavaria.de;American
SMOKE BEER;GOLD;Wacken Brauerei;Germany;Surtr - Smoked Porter;www.wacken.beer;Other
SMOKE BEER;SILVER;Cerveza 7 VIDAS;Peru;7 VIDAS - Smoked Porter;www.cerveza7vidas.com;Other
SMOKE BEER;BRONZE;Bozner Weisse;Italy;Smoky Bock;www.batzen.it;Other
FRANCONIAN-STYLE SMOKE BEER;GOLD;BIREN;Italy;TOSCO;www.labirrabiren.it;Central European
FRANCONIAN-STYLE SMOKE BEER;SILVER;GIUSTOSPIRITO;Italy;MISSIS BROWN;www.giustospirito.com;Central European
FRANCONIAN-STYLE SMOKE BEER;BRONZE;49th State Brewing;USA;Smōk;www.49thstatebrewing.com;Central European
HERB AND SPICE BEER;GOLD;CRAFT BEER BASE;Japan;Lavender & Chamomile;www.craftbeerbase.com;Belgian
HERB AND SPICE BEER;SILVER;URBREW Craft beer Company;China;Urbrew Longjing Jasmine Craft Beer;www.urbrew.com.cn;Belgian
HERB AND SPICE BEER;BRONZE;Shanghai X.Meet Brewery;China;X.Meet Queen Brew Osmanthus Wheat;www.x-meetbrewery.com;Belgian
HONEY BEER;GOLD;Elvo Brewery;Italy;claus;www.elvo.it;Belgian
HONEY BEER;SILVER;Sinobrew;China;Sinobrew Venus Dimples Honey Beer;www.sinobrew.com.cn;Belgian
HONEY BEER;BRONZE;CHOPFAB BOXER;Switzerland;Chopfab limited Elderflower Honey Ale;www.chopfabboxer.ch;Belgian
GERMAN-STYLE KELLERBIER HELL;GOLD;SIMSSEER Braumanufaktur;Germany;Stephanskirchener Zwickl;www.simsseer.de;Central European
GERMAN-STYLE KELLERBIER HELL;SILVER;Private Landbrauerei Schönram;Germany;Schönramer Zwickl;www.schoenramer.de;Central European
GERMAN-STYLE KELLERBIER HELL;BRONZE;Kronenbrauerei Alfred Schimpf;Germany;Schimpf Urtrüb;www.brauerei-schimpf.de;Central European
GERMAN-STYLE KELLERBIER DUNKEL;GOLD;Bottroper Bier;Germany;Bottroper Bier Dunkles;www.bottroper-bier.com;Central European
GERMAN-STYLE KELLERBIER DUNKEL;SILVER;Camba Bavaria;Germany;Camba Dunkel;www.cambabavaria.de;Central European
GERMAN-STYLE KELLERBIER DUNKEL;BRONZE;Ottakringer Brauerei;Austria;Ottakringer Bio-Zwickl Dunkel;www.ottakringerbrauerei.at;Central European
GERMAN-STYLE KELLERPILS;GOLD;Hirsch-Brauerei Honer;Germany;Hirsch Zwuckl;www.hirschbrauerei.de;Central European
GERMAN-STYLE KELLERPILS;SILVER;Birrificio Lambrate;Italy;Montestella;www.birrificiolambrate.com;Central European
GERMAN-STYLE KELLERPILS;BRONZE;Birra Perugia;Italy;4A3;www.birraperugia.it;Central European
BEER WITH ALTERNATIVE CEREALS;GOLD;Bierbrauerei Schrems;Austria;Schremser Bio Roggen;www.schremser.at;Other
BEER WITH ALTERNATIVE CEREALS;SILVER;Riedenburger Brauhaus;Germany;Historisches Emmerbier;www.riedenburger.de;Other
BEER WITH ALTERNATIVE CEREALS;BRONZE;Jopen Bier;Netherlands;Hop To Be Square;www.jopenbier.nl;Other
VIENNA-STYLE LAGER;GOLD;Brauerei Hirt;Austria;Hirter 1270;www.hirterbier.at;Central European
VIENNA-STYLE LAGER;SILVER;Linzer Brauerei;Austria;Linzer Bier Edelstahl;www.linzerbier.at;Central European
VIENNA-STYLE LAGER;BRONZE;North Coast Brewing Company;USA;Laguna Baja;www.northcoastbrewing.com;Central European
WOOD- AND BARREL-AGED STRONG BEER;GOLD;Bozner Weisse;Italy;Grand Cuvée Fumé;www.batzen.it;Other
WOOD- AND BARREL-AGED STRONG BEER;SILVER;Daoravida Brewpub;Brasil;TERMINUS 2025;www.cervejasdaoravida.com.br;Other
WOOD- AND BARREL-AGED STRONG BEER;BRONZE;MC77 Birrificio Artigianale;Italy;A Promise Kept;www.mc-77.com;Other
ULTRA STRONG BEER;GOLD;Cervejaria Bamberg;Brasil;Craft Beer is Dead Weizenbock;www.cervejariabamberg.com.br;Other
ULTRA STRONG BEER;SILVER;Browar Trzech Kumpli;Poland;Ragnar;www.trzechkumpli.pl;Other
ULTRA STRONG BEER;BRONZE;Schneider Weisse;Germany;TAP9 Aventinus Eisbock;www.schneider-weisse.de;Other
NON-ALCOHOLIC LAGER;GOLD;Brauerei Göller;Germany;Göller Alkoholfrei;www.brauerei-goeller.de;Other
NON-ALCOHOLIC LAGER;SILVER;Löwenbräu;Germany;Löwenbräu Alkoholfrei;www.loewenbraeu.de;Other
NON-ALCOHOLIC LAGER;BRONZE;Brauerei S. Riegele;Germany;Riegele Hell Alkoholfrei;www.riegele.de;Other
NEW-STYLE NON-ALCOHOLIC LAGER;GOLD;Browar Sady;Poland;Smoke Allowed!;www.browarsady.pl;American
NEW-STYLE NON-ALCOHOLIC LAGER;SILVER;Mashsee Brauerei;Germany;Blaufrei;www.mashsee.de;American
NEW-STYLE NON-ALCOHOLIC LAGER;BRONZE;Koninklijke Grolsch;Netherlands;Grolsch 0.0%;www.grolsch.nl;American
NEW-STYLE NON-ALCOHOLIC ALE;GOLD;Browar Trzech Kumpli;Poland;Stout Unplugged;www.trzechkumpli.pl;American
NEW-STYLE NON-ALCOHOLIC ALE;SILVER;Camba Bavaria;Germany;Camba FREE IPA;www.cambabavaria.de;American
NEW-STYLE NON-ALCOHOLIC ALE;BRONZE;FrauGruber Craft Brewing;Germany;"FrauGruber ""Lucky Liver""";www.fraugruber-craftbrewing.com;American
NON-ALCOHOLIC HEFEWEIZEN;GOLD;Brauerei Gebr. Maisel;Germany;Maisel's Weisse Alkoholfrei;www.maisel.com;Central European
NON-ALCOHOLIC HEFEWEIZEN;SILVER;Eder & Heylands Brauerei;Germany;Schlappeseppel Weißbier alkoholfrei;www.eders.de;Central European
NON-ALCOHOLIC HEFEWEIZEN;BRONZE;Brauerei Rittmayer Hallerndorf;Germany;Weizen alkoholfrei;www.rittmayer.de;Central European
EXPERIMENTAL BEER;GOLD;Stieglbrauerei zu Salzburg;Austria;Wildshut Bio Antique;www.stiegl.at;Other
EXPERIMENTAL BEER;SILVER;Full Moon Brewworks;Thailand;POW HOWL THAIPA;www.fullmoonbrewwork.com;Other
EXPERIMENTAL BEER;BRONZE;COEDO BREWERY;Japan;COEDO Life Brewing 30s;www.coedobrewery.com;Other
BEER MIX BEVERAGE;GOLD;Hirsch-Brauerei Honer;Germany;Hirsch Natürliches Donau Radler Blutorange;www.hirschbrauerei.de;Other
BEER MIX BEVERAGE;SILVER;Lammbräu Hilsenbeck;Germany;Gruibinger Halb/Halb;www.gruibinger.de;Other
BEER MIX BEVERAGE;BRONZE;Ottakringer Brauerei;Austria;Ottakringer Citrus Radler;www.ottakringerbrauerei.at;Other
NON-ALCOHOLIC BEER MIX BEVERAGE;GOLD;Ottakringer Brauerei;Austria;Ottakringer Null Komma Josef Radler Zitrone Minze;www.ottakringerbrauerei.at;Other
NON-ALCOHOLIC BEER MIX BEVERAGE;SILVER;Ittinger Bier;Switzerland;Calanda Radler 0.0% Grapefruit;www.ittinger.ch;Other
NON-ALCOHOLIC BEER MIX BEVERAGE;BRONZE;Spaten-Franziskaner Bräu;Germany;Franziskaner Weissbier Alkoholfrei Zitrone;www.spatenbraeu.de;Other
